
2023-4-29 0:33:44, 第4卦 山水蒙 变爻：
2023-5-1 21:20:26, 第61卦 风泽中孚 变爻：5，
2023-5-3 17:47:49, 第64卦 火水未济 变爻：nuvel fleur
2023-5-4 14:33:42, 第15卦 地山谦 变爻：5，
2023-5-5 1:59:19, 第59卦 风水涣 变爻：
2023-5-5 21:34:4, 第47卦 泽水困 变爻：2，3，4，
2023-5-5 21:34:5, 变卦：第39卦 水山蹇
2023-5-9 17:30:23, 第20卦 风地观 变爻：1，2，5，
2023-5-9 17:30:23, 变卦：第41卦 山泽损
2023-5-10 14:40:9, 第29卦 坎为水 变爻：1，2，
2023-5-10 16:21:36, 第20卦 风地观 变爻：2，3，
2023-5-12 10:46:10, 第37卦 风火家人 变爻：2，
2023-5-12 11:30:19, 第30卦 离为火 变爻：4，
2023-5-15 16:14:45, 第13卦 天火同人 变爻：3，5，
2023-5-16 12:59:44, 第11卦 地天泰 变爻：2，3，4，
2023-5-16 12:59:44, 变卦：第51卦 震为雷
2023-5-16 13:4:10, 第62卦 雷山小过 变爻：
2023-5-18 17:13:3, 第15卦 地山谦 变爻：4，
2023-5-20 15:30:54, 第58卦 兑为泽 变爻：2，4，5，6，
2023-5-20 15:30:54, 变卦：第27卦 山雷颐
2023-5-26 21:39:50, 第44卦 天风姤 变爻：1，2，4，6，
2023-5-26 21:39:50, 变卦：第63卦 水火既济
2023-5-27 17:42:16, 第13卦 天火同人 变爻：4，
2023-5-27 20:28:41, 第37卦 风火家人 变爻：2，5，
2023-6-1 14:25:49, 第56卦 火山旅 变爻：1，
2023-6-2 10:19:23, 第38卦 火泽睽 变爻：4，
2023-6-2 15:13:32, 第63卦 水火既济 变爻：
2023-6-7 9:49:44, 第60卦 水泽节 变爻：1，6，
2023-6-7 14:43:10, 第47卦 泽水困 变爻：
2023-6-7 15:33:1, 第49卦 泽火革 变爻：
2023-6-7 16:5:53, 第41卦 山泽损 变爻：1，2，4，5，
2023-6-7 16:5:53, 变卦：第12卦 天地否
2023-6-11 14:57:8, 第59卦 风水涣 变爻：
2023-6-15 18:18:10, 第13卦 天火同人 变爻：3，
2023-6-15 19:6:4, 第42卦 风雷益 变爻：1，3， 摄影工作室
2023-6-16 22:46:32, 第34卦 雷天大壮 变爻：5， 测桃花：得此卦时，婚恋大多呈两种相反的状况：一种是同时与三四个恋爱对象同时交往，另一种是根本无意于婚恋。
2023-6-18 2:43:24, 第8卦 水地比 变爻：
2023-6-18 19:34:16, 第25卦 天雷无妄 变爻：1，2，
2023-6-20 10:10:47, 第56卦 火山旅 变爻：3，
2023-6-22 22:22:19, 第49卦 泽火革 变爻：6，
2023-6-23 11:59:50, 第46卦 地风升 变爻：3，5，6，
2023-6-23 11:59:50, 变卦：第59卦 风水涣
2023-6-25 13:8:11, 第33卦 天山遁 变爻：5，6，
2023-6-28 21:33:58, 第25卦 天雷无妄 变爻：
2023-6-29 20:35:23, 第41卦 山泽损 变爻：2，6，
2023-7-1 21:41:25, 第26卦 山天大畜 变爻：1，
2023-7-3 15:3:29, 第32卦 雷风恒 变爻：1，5，
2023-7-4 14:41:29, 第33卦 天山遁 变爻：
2023-7-6 10:46:7, 第51卦 震为雷 变爻：2，3，4，
2023-7-6 10:46:7, 变卦：第11卦 地天泰
2023-7-6 20:56:12, 第14卦 火天大有 变爻：5，
2023-7-7 16:38:41, 第17卦 泽雷随 变爻：5，
2023-7-11 17:41:55, 第27卦 山雷颐 变爻：4，5，6， AmsterDam 谨言慎行，不评价
2023-7-11 17:41:55, 变卦：第17卦 泽雷随


2023-7-11 18:4:30, 第16卦 雷地豫 变爻：2，4，Jordan Romania
2023-7-11 19:4:2, 第12卦 天地否 变爻：travel w R
2023-7-11 22:2:3, 第23卦 山地剥 变爻： 约旦
2023-7-14 16:31:46, 第23卦 山地剥 变爻：新能源

2023-7-17 16:23:41, 第23卦 山地剥 变爻：5，Amsterdam
2023-7-18 11:8:32, 第17卦 泽雷随 变爻：1，3，6，开罗母婴
2023-7-18 11:8:32, 变卦：第33卦 天山遁
2023-7-19 11:2:19, 第2卦 坤为地 变爻：functional fabric

2023-7-19 12:33:54, 第12卦 天地否 变爻：3，6，
2023-7-19 19:39:11, 第21卦 火雷噬嗑 变爻：4，6，
2023-7-19 20:48:24, 第8卦 水地比 变爻：2，6，
2023-7-31 13:47:9, 第47卦 泽水困 变爻：
2023-8-9 14:9:38, 第59卦 风水涣 变爻：2，
2023-8-10 21:25:42, 第7卦 地水师 变爻：m
2023-8-11 10:26:5, 第61卦 风泽中孚 变爻：m
2023-8-12 20:46:51, 第47卦 泽水困 变爻：1，5，6，
2023-8-12 20:46:51, 变卦：第38卦 火泽睽 戴维
2023-8-14 13:5:45, 第29卦 坎为水 变爻：5，
2023-8-18 10:59:14, 第59卦 风水涣 变爻：3，5，m
2023-8-18 14:3:58, 第35卦 火地晋 变爻：3，6，为什么我俩离得远 你就有奇怪的事情
2023-8-21 13:49:30, 第16卦 雷地豫 变爻：
2023-8-22 22:55:2, 第43卦 泽天夬 变爻：1，4，5，
2023-8-22 22:55:2, 变卦：第46卦 地风升
2023-8-24 15:8:32, 第57卦 巽为风 变爻：6，
2023-8-25 15:21:18, 第10卦 天泽履 变爻：1，5，
2023-8-30 12:53:28, 第20卦 风地观 变爻：1，m
2023-9-1 16:53:27, 第59卦 风水涣 变爻：m
2023-9-4 13:15:44, 第6卦 天水讼 变爻：m
2023-9-6 23:51:56, 第6卦 天水讼 变爻：6，CEMS
2023-9-10 13:32:27, 第60卦 水泽节 变爻：m
2023-9-11 23:28:40, 第13卦 天火同人 变爻：3，m
2023-9-19 21:4:49, 第41卦 山泽损 变爻：m 损己益人，损利益德，或先苦后悦。事急则不成，一度难调，二度、三度则易成

2023-9-27 16:18:29, 第49卦 泽火革 变爻：1，6，
2023-9-27 18:51:53, 第12卦 天地否 变爻：
2023-10-10 17:17:19, 第23卦 山地剥 变爻：5，6，m
2023-10-10 17:17:37, 第64卦 火水未济 变爻：2，l
2023-10-10 17:17:49, 第47卦 泽水困 变爻：1，w
2023-10-10 17:47:25, 第34卦 雷天大壮 变爻：6，general
2023-10-17 15:57:36, 第51卦 震为雷 变爻：m
2023-10-30 23:15:9, 第64卦 火水未济 变爻：3，lmh
2023-11-14 17:31:27, 第3卦 水雷屯 变爻：1，6，mm 四大难卦
2023-11-17 12:29:44, 第44卦 天风姤 变爻：4，6，
2023-11-17 13:29:5, 第11卦 地天泰 变爻：4，5，6，
2023-11-17 13:29:5, 变卦：第1卦 乾为天
2023-11-19 19:20:41, 第8卦 水地比 变爻：3，6，
2023-11-22 17:15:52, 第18卦 山风蛊 变爻：1，3，5，
2023-11-22 17:15:52, 变卦：第61卦 风泽中孚
2023-11-22 23:27:55, 第1卦 乾为天 变爻：2，4，
2023-11-24 19:48:24, 第62卦 雷山小过 变爻：6，lm 处于小过之始，不宜有所行动，若一个劲地往前飞而不知道往回飞，势必会折断翅膀坠落于地。
2023-12-1 15:37:20, 第17卦 泽雷随 变爻：4，6，
2023-12-3 20:34:59, 第24卦 地雷复 变爻：3，
2023-12-12 14:55:13, 第22卦 山火贲 变爻：
2023-12-12 15:28:47, 第38卦 火泽睽 变爻：4，hola tmcer
2023-12-15 22:32:42, 第3卦 水雷屯 变爻：1，3，Tunicia
2023-12-21 14:39:17, 第23卦 山地剥 变爻：6，
2024-1-11 20:44:18, 第64卦 火水未济 变爻：1，6，stone biz

2024-1-18 14:59:59, 第60卦 水泽节 变爻：5，
2024-1-23 11:7:45, 第62卦 雷山小过 变爻：1，3，
2024-1-24 13:14:28, 第26卦 山天大畜 变爻：1，2，3，4，sap career
2024-1-24 13:14:28, 变卦：第35卦 火地晋, sap career
2024-1-29 13:29:58, 第55卦 雷火丰 变爻：1，2，lmh
2024-1-29 16:59:55, 第32卦 雷风恒 变爻：1，6，
